序号,姓名,所属公司,现任基金,累计从业时间,现任基金资产总规模,现任基金最佳回报
40,梁铭超,嘉实基金,嘉实互融精选股票,173,0.17,-4.06
41,徐皓,国泰基金,国泰民泽平衡养老FOF,2159,0.48,10.83
42,徐昊,东吴基金,东吴苏园,129,,
43,谢昊,第一创业,第一创业创享纯债,42,,-0.12
44,席红辉,东海证券,"东海海睿健行灵活配置混合A,东海海睿健行灵活配置混合B,东海海睿致远灵活配置混合",87,,2.29
45,徐华婧,建信基金,"建信恒远一年定开债,建信睿和纯债定开债,建信睿阳一年定期开放债券",464,152.55,4.45
46,肖汉山,国投瑞银基金,"国投瑞银医疗保健混合A,国投瑞银医疗保健混合C",169,2.88,3.03
47,徐黄玮,安信基金,"安信量化精选沪深300增强A,安信量化精选沪深300增强C,安信稳健阿尔法定开混合A,安信中证500指数增强A,安信中证500指数增强C,安信稳健阿尔法定开混合C,安信深圳科技指数(LOF)A,安信深圳科技指数(LOF)C",1443,13.56,99.95
48,席行懿,中信保诚基金,"信诚薪金宝货币,中信保诚至泰中短债债券A,中信保诚至泰中短债债券C,信诚货币E,信诚智惠金A,中信保诚景裕中短债A,中信保诚景裕中短债C,信诚智惠金C,信诚货币A,信诚货币B,中信保诚景华债券A,中信保诚景华债券C",2036,144.76,17.47
49,夏浩洋,广发基金,"广发中证全指可选消费联接A,广发中证全指金融地产联接A,广发中证全指可选消费联接C,广发中证全指金融地产联接C,广发中证光伏产业指数A,广发中证光伏产业指数C,广发中证全指可选消费ETF,广发中证全指金融地产ETF,广发中证全指原材料ETF,广发中证全指能源ETF",147,48.29,33.06
50,徐婕,长江证券(上海),"长江添利混合A,长江添利混合C,长江均衡成长混合发起式A,长江均衡成长混合发起式C",914,2.37,9.75
1,许健,中信建投基金,"中信建投添鑫宝,中信建投稳裕定开债A,中信建投稳祥A,中信建投稳祥C,中信建投稳裕定开债C,中信建投稳悦债券,中信建投桂企债A,中信建投桂企债C,中信建投稳丰63个月定开债,中信建投中债3-5年政金债A,中信建投中债3-5年政金债C,中信建投双利3个月持有债券A,中信建投双利3个月持有债券C,中信建投双鑫债券A,中信建投双鑫债券C",1695,268.15,22.58
2,徐俊,国联安基金,国联安红利混合,843,0.7,20.25
3,许佳,上银基金,"上银慧添利债券,上银慧祥利债券A,上银慧祥利债券C,上银慧永利中短期债券A,上银慧永利中短期债券C,上银中债1-3年国开行债券指数,上银聚永益一年定开债券,上银聚德益一年定开债券,上银慧嘉利债券,上银中债5-10年国开债指数",329,235.19,4.46
4,许家涵,天治基金,"天治核心成长混合(LOF),天治财富增长混合,天治低碳经济混合",2326,9.08,76.4
5,忻佳华,上投摩根基金,"上投摩根货币A,上投摩根货币B",433,826.07,2.56
6,谢家乐,大成基金,"大成科技创新混合A,大成科技创新混合C,大成创业板两年定开混合C,大成成长进取混合A,大成成长进取混合C,大成成长回报六个月持有混合A,大成成长回报六个月持有混合C,大成创业板两年定开混合A,大成科创主题3年封闭混合",800,87.41,156.41
7,邢军亮,农银汇理基金,农银行业轮动混合,91,2.63,5.89
8,萧嘉倩,南方基金,"南方教育股票,南方消费升级混合A,南方消费升级混合C",889,49.86,153.32
9,夏金涛,财通资管,"财通资管鑫管家货币A,财通资管鑫管家货币B,财通睿智6个月定开债,财通资管丰和两年定开债A,财通资管丰和两年定开债C,财通资管丰乾39个月定开债A,财通资管丰乾39个月定开债C,财通资管睿慧1年定开债",470,225.44,3.98
10,薛冀颖,平安基金,"平安安盈灵活配置混合,平安优质企业混合A,平安优质企业混合C",2172,36.1,48.35
11,徐静远,上银基金,"上银中证500指数增强型A,上银中证500指数增强型C,上银核心成长混合A,上银核心成长混合C",470,1.73,14.2
12,熊侃,银华基金,"银华尊和养老2035混合(FOF),银华尊尚稳健养老混合(FOF),银华尊和养老2030混合(FOF),银华尊和养老2040混合(FOF),银华尊颐稳健养老目标一年持有混合发起式(FOF)",1036,5.62,56.23
13,肖侃宁,银华基金,"银华尊和养老2035混合(FOF),银华尊尚稳健养老混合(FOF),银华尊和养老2030混合(FOF),银华尊和养老2040混合(FOF),银华尊颐稳健养老目标一年持有混合发起式(FOF)",1711,5.62,56.23
14,先轲宇,建信基金,"建信嘉薪宝货币A,建信嘉薪宝货币B,建信现金增利货币A,建信现金添益货币A,建信货币B,建信天添益货币A,建信天添益货币B,建信天添益货币C,建信荣禧一年定期开放债券,建信现金增利货币B,建信现金添益货币C,建信现金添益货币H,建信货币A,建信周盈安心理财债券A,建信周盈安心理财债券B",1560,3274.57,14.08
15,徐力,中科沃土基金,中科沃土转型升级混合,799,0.13,48.33
16,薛琳,国联安基金,"国联安通盈混合A,国联安鑫享灵活配置混合A,国联安添鑫灵活配置混合A,国联安添鑫灵活配置混合C,国联安鑫享灵活配置混合C,国联安通盈混合C,国联安鑫汇混合A,国联安鑫汇混合C,国联安鑫发混合A,国联安鑫发混合C,国联安恒利63个月定开债A,国联安恒利63个月定开债C,国联安增顺纯债A,国联安增顺纯债C,国联安增祺纯债A,国联安增祺纯债C,国联安安心成长混合,国联安信心增益债券",3382,115.79,113.79
17,薛玲,建信基金,"建信瑞丰添利混合A,建信瑞丰添利混合C,建信鑫稳回报灵活配置混合A,建信鑫稳回报灵活配置混合C,建信量化事件驱动股票,建信上证50ETF发起联接A,建信上证50ETF发起联接C,建信深证基本面60ETF联接C,建信上证50ETF发起联接E,深F60ETF,建信责任ETF,建信上证50ETF,建信上证社会责任ETF联接,建信深证基本面60ETF联接A",1928,23.52,106.76
18,熊琳,南方基金,"南方新能源产业趋势混合A,南方新能源产业趋势混合C",50,25.13,-1.26
19,谢理斌,东吴基金,东吴苏园,129,,
20,夏林锋,华宝基金,"华宝生态中国混合,华宝未来主导混合A,华宝未来主导混合C",2549,3.67,194.44
21,薛莉丽,淳厚基金,"淳厚信泽混合A,淳厚信泽混合C,淳厚信睿混合A,淳厚信睿混合C,淳厚欣享一年持有期混合A,淳厚欣享一年持有期混合C,淳厚益加债券A,淳厚益加债券C,淳厚欣颐一年持有期混合,淳厚鑫淳一年持有混合,淳厚现代服务业股票A,淳厚现代服务业股票C,淳厚鑫悦商业模式优选混合A,淳厚鑫悦商业模式优选混合C",785,53.02,79.55
22,许利明,华夏基金,"华夏养老2040(FOF),华夏养老2045(FOF)A,华夏养老2045(FOF)C,华夏养老2035(FOF)A,华夏养老2035(FOF)C,华夏养老2050五年(FOF),华夏保守养老一年持有混合(FOF),华夏养老2055五年持有混合(FOF),华夏安盈稳健养老目标一年持有混合(FOF)",2605,33.49,70.95
23,徐林明,华宝基金,"华宝量化对冲混合A,华宝量化对冲混合C,华宝沪深300指数增强A,华宝科技先锋混合A,华宝沪深300指数增强C,华宝科技先锋混合C",4398,26.29,110.37
24,夏里鹏,招商基金,"招商招悦纯债A,招商招悦纯债C,招商招惠3个月定期开放债券A,招商招惠3个月定期开放债券C,招商中债1-5年进出口行A,招商中债1-5年进出口行C,招商中债-1-3年国开债A,招商中债-1-3年国开债C",587,110.65,2.84
25,肖立强,前海开源基金,"前海开源优势蓝筹股票A,前海开源优势蓝筹股票C,前海开源沪港深隆鑫混合A,前海开源沪港深隆鑫混合C,前海开源价值策略股票",1094,7.23,103.13
26,徐荔蓉,国海富兰克林基金,"国富价值成长一年持有期混合A,国富价值成长一年持有期混合C,国富优质企业一年持有期混合A,国富优质企业一年持有期混合C,国富中国收益混合,国富潜力组合混合A,国富研究精选混合",5441,69.12,261.38
27,邢连云,同泰基金,"同泰慧选混合发起式A,同泰慧选混合发起式C,同泰远见混合A,同泰远见混合C",174,1.45,-6.55
28,徐猛,华夏基金,"华夏恒生ETF联接A,华夏恒生ETF联接现汇,华夏恒生ETF联接现钞,华夏上证50ETF联接A,华夏上证50ETF联接C,华夏恒生ETF联接C,华夏中证动漫游戏ETF联接A,华夏中证动漫游戏ETF联接C,华夏中证细分食品饮料产业主题ETF发起式联接A,华夏中证细分食品饮料产业主题ETF发起式联接C,华夏恒生互联网科技业ETF联接(QDII)A,华夏恒生互联网科技业ETF联接(QDII)C,华夏科创创业50ETF联接A,华夏科创创业50ETF联接C,华夏恒生科技ETF发起式联接(QDII)A,华夏恒生科技ETF发起式联接(QDII)C,华夏中证科创创业50ETF,华夏恒生中国企业ETF(QDII),华夏中证动漫游戏ETF,华夏中小企业100ETF,华夏恒生ETF(QDII),华夏上证50ETF,华夏恒生科技ETF(QDII),华夏恒生互联网科技业ETF(QDII),华夏中证细分食品饮料主题ETF,华夏中证金融科技主题ETF,华夏中证沪港深500ETF",3111,914.37,43.19
29,徐觅,东方红资产管理,"东方红策略精选混合A,东方红策略精选混合C,东方红汇利债券A,东方红汇利债券C,东方红汇阳债券A,东方红汇阳债券C,东方红益鑫纯债A,东方红益鑫纯债C,东方红汇阳债券Z,东方红配置精选混合A,东方红配置精选混合C,东方红核心优选定开混合A,东方红安鑫甄选一年持有混合,东方红益丰纯债债券,东方红核心优选定开混合C,东方红目标优选定开混合",1758,160.09,38.82
30,肖觅,嘉实基金,"嘉实研究阿尔法股票,嘉实物流产业股票A,嘉实物流产业股票C,嘉实基础产业优选股票A,嘉实基础产业优选股票C,嘉实核心蓝筹混合A,嘉实核心蓝筹混合C,嘉实研究精选混合A,嘉实周期优选混合",1750,64.33,140.1
31,徐慕浩,泰信基金,"泰信竞争优选混合,泰信蓝筹精选混合",789,6.03,187.02
32,夏明月,中信保诚基金,"信诚深度价值混合(LOF),信诚四季红混合",941,7.28,60.9
33,萧楠,易方达基金,"易方达瑞恒灵活配置混合,易方达消费精选股票,易方达高质量严选三年持有,易方达消费行业股票,易方达科顺定开混合",3303,596.54,467.34
34,向霈,招商基金,"招商招钱宝货币A,招商招钱宝货币B,招商招钱宝货币C,招商招利1个月期理财债券A,招商招利1个月期理财债券B,招商招利1个月期理财债券C,招商招财通理财债券A,招商招财通理财债券C,招商添盈纯债A,招商添盈纯债C,招商添裕纯债A,招商添裕纯债C,招商添盈纯债E,招商添华纯债A,招商添华纯债C,招商信用添利债券(LOF)C,招商添裕纯债D,招商稳裕短债30天持有债A,招商稳裕短债30天持有债C,招商稳乐中短债90天持有期债券A,招商稳乐中短债90天持有期债券C,招商稳福短债14天滚动持有债A,招商稳福短债14天滚动持有债C,招商信用添利债券(LOF)A",2848,1036.28,27.03
35,徐鹏,华鑫证券,"华鑫乐享周周购三个月持有A,华鑫乐享周周购三个月持有C",72,,0.13
36,徐沛琳,永赢基金,"永赢永益债券A,永赢永益债券C,永赢泰利债券A,永赢泰利债券C,永赢淳利债券,永赢智益纯债三个月,永赢鑫盛混合,永赢宏泽一年定开混合",405,83.35,4.95
37,奚鹏洲,中银基金,"中银惠利半年定开债,中银信用增利债券(LOF)C,中银增利债券,中银双利债券A,中银双利债券B,中银信用增利债券(LOF)A,中银互利半年定开债",4166,86.18,91.3
38,夏钦,财通基金,"财通可持续混合,财通行业龙头精选混合A,财通行业龙头精选混合C,财通景气行业一年封闭混合,财通多策略福享混合(LOF),财通多策略福瑞混合(LOF)",1982,15.49,126.02
39,许强,招商基金,"招商招金宝货币A,招商招金宝货币B,招商定期宝六个月期理财债券,招商财富宝交易型货币A,招商招信定开债A,招商招信定开债C,招商招利宝货币A,招商招利宝货币B,招商招诚定开债发起式,招商保证金快线D,招商保证金快线A,招商保证金快线B,招商理财7天债券A,招商理财7天债券B,招商财富宝交易型货币E",2077,357.37,23.25
40,徐青,兴业基金,"兴业聚惠灵活配置混合A,兴业聚源混合A,兴业聚惠灵活配置混合C,兴业裕华债券,兴业嘉瑞6个月定开债A,兴业嘉瑞6个月定开债C,兴业3个月定开债券,兴业嘉华一年定开债券发起式",1729,83.91,47.63
41,邢秋羽,中银基金,中银养老2040三年持有期混合(FOF),338,0.26,4.89
42,徐冉,招商基金,"招商盛鑫优选3个月持有(FOF)A,招商盛鑫优选3个月持有(FOF)C",518,0.41,9.83
43,肖瑞瑾,博时基金,"博时科技创新混合A,博时科技创新混合C,博时消费创新混合A,博时消费创新混合C,博时创新精选混合A,博时创新精选混合C,博时数字经济18个月封闭A,博时数字经济18个月封闭C,博时半导体主题混合A,博时半导体主题混合C,博时时代消费混合A,博时时代消费混合C,博时回报混合,博时创业板两年定开混合,博时科创主题3年封闭混合,博时科创板三年定开混合",1743,163.97,155.9
44,许荣漫,招商基金,"招商上证消费80ETF联接C,招商国证生物医药指数(LOF)C,招商国证生物医药指数(LOF)A,招商上证消费80ETF联接A,招商富时A-H50指数A,招商富时A-H50指数C,招商上证消费80ETF,招商中证电池主题ETF",203,130.3,4.66
45,夏荣尧,诺安基金,诺安双利债券发起,461,14.02,10.16
46,徐珊,嘉实基金,"嘉实薪金宝货币,嘉实货币E,嘉实现金宝,嘉实增益宝货币,嘉实精选平衡混合A,嘉实精选平衡混合C,嘉实货币A,嘉实安心货币A,嘉实安心货币B,嘉实货币B",497,376.31,15.58
47,许少波,博时基金,"博时研究精选持有期混合A,博时研究精选持有期混合C,博时研究优选3年封闭混合A,博时研究优选3年封闭混合C",1013,45.72,-6.06
48,谢书英,鹏华基金,"鹏华核心优势混合,鹏华高质量增长混合A,鹏华高质量增长混合C,鹏华价值优势混合(LOF),鹏华增瑞混合(LOF),鹏华精选成长混合",2735,61.71,130.42
49,肖世源,圆信永丰基金,"圆信永丰兴源灵活配置混合A,圆信永丰兴源灵活配置混合C,圆信永丰双利优选,圆信永丰医药健康",1576,3.06,53.4
50,许拓,农银汇理基金,"农银中国优势灵活配置混合,农银汇理智增一年定开混合",359,27.27,4.78
1,徐锬,华宝基金,"华宝1-5年政金债指数,华宝宝瑞一年定开债",141,110.5,1.23
2,徐涛国,长城基金,"长城工资宝货币A,长城工资宝货币B,长城嘉裕六个月定开债A,长城嘉裕六个月定开债C,长城嘉鑫两年定开债A,长城嘉鑫两年定开债C,长城工资宝货币C",1575,179.64,13.48
3,许廷全,汇丰晋信基金,汇丰晋信港股通精选股票,789,1.13,8.7
4,熊伟,兴业基金,兴业聚丰混合A,1932,5.6,33.25
5,谢玮,中信建投基金,"中信建投医改混合A,中信建投医改混合C,中信建投医药健康A,中信建投医药健康C,中信建投远见回报混合A,中信建投远见回报混合C",1227,56.51,197.68
6,向伟,浙商基金,"浙商中证500指数增强A,浙商智能行业优选混合A,浙商智能行业优选混合C,浙商中证500指数增强C,浙商智选领航三年持有混合A,浙商智选领航三年持有混合C,浙商创业板指数增强A,浙商创业板指数增强C,浙商智选先锋一年持有混合A,浙商智选先锋一年持有混合C,浙商智多享稳健混合发起式A,浙商智多享稳健混合发起式C,浙商沪深300指数增强",748,38.66,90.54
7,徐伟,中科沃土基金,"中科沃土沃鑫成长精选混合A,中科沃土沃鑫成长精选混合C",797,2.44,61.15
8,许文波,东方基金,"东方欣利混合A,东方欣利混合C,东方欣益一年持有期混合A,东方欣益一年持有期混合C,东方中国红利混合,东方龙混合,东方精选混合,东方强化收益债券",2111,54.31,104.1
9,肖威兵,富国基金,"富国天盛灵活配置基金,富国成长优选三年定开混合,富国稳健增长混合A,富国稳健增长混合C,富国稳健恒盛12个月持有混合A,富国稳健恒盛12个月持有混合C",1115,49.28,150.71
10,徐文卉,农银汇理基金,"农银现代农业加,农银汇理研究驱动混合,农银新兴消费股票,农银中小盘混合,农银消费主题混合A",1612,77.58,98.97
11,徐维君,方正富邦基金,"方正富邦天璇混合A,方正富邦天璇混合C,方正富邦沪深300ETF",190,5.01,5.3
12,许望伟,长信基金,长信银利精选混合,287,7.06,29.5
13,许文星,中欧基金,"中欧新动力混合(LOF)E,中欧养老产业混合A,中欧新动力混合(LOF)C,中欧电子信息产业沪港深股票A,中欧电子信息产业沪港深股票C,中欧创业板两年定开混合C,中欧睿见混合,中欧睿泽混合A,中欧睿泽混合C,中欧养老产业混合C,中欧新动力混合(LOF)A,中欧创业板两年定开混合A",1277,121.56,146.75
14,轩璇,嘉实基金,"嘉实丰益纯债定期债券,嘉实丰益策略定期债券,嘉实策略优选混合,嘉实民企精选一年定开债,嘉实致融一年定期债券,嘉实稳福混合A,嘉实稳福混合C,嘉实丰年一年定期纯债债券A,嘉实丰年一年定期纯债债券C,嘉实债券,嘉实纯债债券A,嘉实纯债债券C",709,89.85,28.35
15,肖肖,宝盈基金,"宝盈优势产业混合A,宝盈新锐混合A,宝盈品牌消费股票A,宝盈品牌消费股票C,宝盈新锐混合C,宝盈鸿利收益灵活配置混合C,宝盈研究精选混合A,宝盈研究精选混合C,宝盈龙头优选股票A,宝盈龙头优选股票C,宝盈现代服务业混合A,宝盈现代服务业混合C,宝盈优势产业混合C,宝盈鸿利收益灵活配置混合A,宝盈资源优选混合",1741,90.38,264.03
16,徐翔,永赢基金,"永赢鼎利债券A,永赢鼎利债券C,永赢华嘉信用债",840,27.18,4.11
17,徐欣,华宝基金,华宝转型升级混合,44,0.49,-5.63
18,薛小波,泰康资产,"泰康均衡优选混合A,泰康均衡优选混合C,泰康产业升级混合A,泰康产业升级混合C,泰康创新成长混合A,泰康创新成长混合C,泰康优势精选三年持有期混合",2217,44.7,119.1
19,徐雄晖,大成基金,"大成民稳增长混合A,大成民稳增长混合C,大成尊享18月定开混合A,大成尊享18月定开混合C,大成汇享一年持有混合A,大成汇享一年持有混合C",1179,10.9,6.79
20,徐习佳,东方红资产管理,"东方红中证竞争力指数A,东方红中证竞争力指数C",806,10.49,44.26
21,徐晓杰,光大保德信基金管理,"光大健康优加混合,光大红利混合",2238,25.13,12.9
22,夏祥全,申万菱信基金,"申万菱信量化成长混合,申万菱信价值优先混合,申万菱信量化对冲策略混合",358,13.23,12.09
23,徐小勇,长安基金,"长安鑫旺价值混合A,长安鑫旺价值混合C,长安裕泰混合A,长安裕泰混合C,长安裕隆混合A,长安裕隆混合C,长安鑫盈混合A,长安鑫盈混合C,长安鑫悦消费混合A,长安鑫悦消费混合C,长安鑫瑞科技6个月定开混合A,长安鑫瑞科技6个月定开混合C,长安成长优选混合A,长安成长优选混合C,长安先进制造混合A,长安先进制造混合C",3663,79.51,257.49
24,熊潇雅,南方基金,南方香港成长(QDII),15,33.13,0.94
25,薛显志,景顺长城基金,"景顺稳健养老目标三年混合(FOF),景顺长城养老混合(FOF),景顺长城颐心养老2040三年持有混合(FOF)",1631,1.76,36.83
26,徐彦,大成基金,"大成睿享混合A,大成睿享混合C,大成投资严选六月持有混合A,大成投资严选六月持有混合C,大成策略回报混合,大成竞争优势混合",2795,23.74,55.1
27,许娅,农银汇理基金,"农银汇理金汇债券A,农银红利日结货币A,农银红利日结货币B,农银汇理日日鑫交易型货币A,农银汇理日日鑫交易型货币C,农银汇理金益债券,农银汇理金汇债券C",2857,710.08,23.49
28,许炎,富国基金,"富国互联科技股票A,富国成长策略混合,富国互联科技股票C",1877,113.45,189.98
29,许燕,上海光大证券资产管理,"光大阳光稳债收益12个月持有债券A,光大阳光稳债收益12个月持有债券C",1939,71.67,3.52
30,邢烨,东海基金,"东海祥利纯债,东海祥苏短债A,东海祥苏短债C,东海祥泰三年定开债发起式,东海鑫享66个月定开",223,87.18,1.91
31,夏雨,工银瑞信基金,"工银战略新兴产业混合A,工银战略新兴产业混合C,工银创业板两年定开混合C,工银聚安混合A,工银聚安混合C,工银创业板两年定开混合A",759,24.77,129.49
32,夏寅,鹏华基金,"鹏华聚财通货币,鹏华盈余宝货币A,鹏华盈余宝货币B,鹏华兴鑫宝货币,鹏华货币A,鹏华货币B",132,208.64,0.77
33,徐一,招商基金,"招商招乾3个月定开债A,招商招乾3个月定开债C,招商招益宝货币A,招商招益宝货币B,招商招享纯债A,招商招享纯债C,招商招盛纯债A,招商招盛纯债C,招商招丰纯债A,招商招丰纯债C,招商招琪纯债A,招商招琪纯债C,招商招景纯债A,招商招景纯债C,招商招禧宝货币A,招商招禧宝货币B,招商添润3个月定开债A,招商添润3个月定开债C,招商添琪3个月定开债A,招商添琪3个月定开债C,招商招丰纯债D",408,334.93,4.19
34,谢越,永赢基金,"永赢增益债券A,永赢增益债券C,永赢聚益债券A,永赢聚益债券C,永赢宏益债券A,永赢宏益债券C,永赢合益债券,永赢颐利债券,永赢鼎利债券A,永赢鼎利债券C,永赢邦利债券A,永赢邦利债券C,永赢瑞宁87个月定开债",521,248.45,5.98
35,熊钰,前海联合,"前海联合润丰混合A,前海联合润丰混合C",520,0.87,37.53
36,夏宜冰,中银基金,"中银港股通优势成长股票,中银全球策略",560,6.12,33.85
37,徐亦达,湘财基金,"湘财长顺混合发起式A,湘财长顺混合发起式C,湘财长源股票型A,湘财长源股票型C,湘财长泽灵活配置混合A,湘财长泽灵活配置混合C,湘财创新成长一年持有期混合A,湘财创新成长一年持有期混合C,湘财周期轮动一年持有混合",519,11.44,54.9
38,向伊达,银华基金,银华盛利混合发起式,673,0.66,156.27
39,徐艳芳,国金基金,"国金众赢货币,国金及第中短债债券,国金惠鑫短债债券A,国金惠鑫短债债券C,国金惠鑫短债债券E,国金惠宁中短期利率债A,国金惠宁中短期利率债C",3153,74.07,22.66
40,徐幼华,富国基金,"富国港股通量化精选股票型,富国大盘价值量化混合,富国MSCI中国A股国际通,富国中证红利指数增强C,富国中证1000指数增强(LOF)C,富国中证500指数增强(LOF)C,富国中证红利指数增强A,富国中证500指数增强(LOF)A,富国中证1000指数增强(LOF)A",3807,123.16,212
41,徐一恒,汇添富基金,"汇添富实业债债券A,汇添富实业债债券C,汇添富年年泰定开混合A,汇添富年年泰定开混合C,汇添富年年丰定开混合A,汇添富年年丰定开混合C,汇添富年年益定开混合A,汇添富年年益定开混合C,汇添富稳健收益混合A,汇添富稳健收益混合C,汇添富稳健添盈一年持有混合,汇添富稳进双盈一年持有混合,汇添富中高等级信用债A,汇添富中高等级信用债C,汇添富中高等级信用债E",771,225.2,9.94
42,徐远航,申万菱信基金,申万菱信智能驱动股票,458,2.01,52.25
43,徐喻军,景顺长城基金,"景顺长城优质成长股票,景顺长城领先回报混合A,景顺长城领先回报混合C,景顺长城量化平衡混合,景顺长城泰恒回报混合A,景顺长城泰恒回报混合C,景顺长城MSCI中国A股国际通,景顺长城量化先锋混合,景顺长城中证500增强,景顺中证红利成长低波动A,景顺中证红利成长低波动C",2735,25.24,62.23
44,徐玉良,兴业基金,"兴业优势产业混合A,兴业优势产业混合C",351,2.39,7.36
45,夏云龙,华夏基金,"华夏周期驱动混合发起式A,华夏周期驱动混合发起式C",3,0.89,0
46,谢雨芮,国金基金,"国金惠远纯债A,国金惠远纯债C",206,4.91,1.86
47,徐一阳,德邦基金,"德邦鑫星价值灵活配置混合A,德邦鑫星价值灵活配置混合C,德邦乐享生活混合A,德邦乐享生活混合C,德邦安顺混合A,德邦安顺混合C",525,5.83,17.67
48,夏妍妍,海富通基金,"海富通一年定开债C,海富通安颐收益混合C,海富通全球收益债券美元,海富通聚合纯债,海富通富盈混合A,海富通富盈混合C,海富通瑞兴3个月定开债券A,海富通瑞兴3个月定开债券C,海富通全球收益债券人民币,海富通安颐收益混合A,海富通一年定开债A,海富通富祥混合,海富通欣益混合C,海富通欣益混合A",1378,56.93,68.4
49,夏莹莹,南方基金,"南方全天候策略(FOF)A,南方全天候策略(FOF)C,南方合顺多资产(FOF)A,南方合顺多资产(FOF)C,南方浩睿进取京选3个月混合(FOF)A,南方浩睿进取京选3个月混合(FOF)C",1434,32.57,55.82
50,徐寅喆,汇添富基金,"汇添富添富通货币A,汇添富全额宝货币,汇添富和聚宝货币,汇添富货币C,汇添富货币D,汇添富添富通货币B,汇添富理财60天债券E,汇添富汇鑫货币A,汇添富汇鑫货币B,汇添富稳利60天短债A,汇添富稳利60天短债C,汇添富货币E,汇添富理财14天债券A,汇添富理财60天债券A,汇添富理财14天债券B,汇添富理财60天债券B,汇添富添富通货币E,汇添富货币B,汇添富货币A,汇添富收益快线货币A,汇添富收益快线货币B",2605,2566.57,24.98
1,许一尊,汇添富基金,"汇添富成长多因子量化策略股票,汇添富沪深300指数增强A,汇添富沪深300指数增强C",2151,12.6,71.11
2,熊昱洲,嘉实基金,"嘉实新优选混合,嘉实新能源新材料股票A,嘉实新能源新材料股票C",261,55.61,17.13
3,徐治彪,国泰基金,"国泰大健康股票A,国泰研究精选两年持有混合,国泰研究优势混合,国泰医药健康股票A,国泰大健康股票C,国泰医药健康股票C,国泰金鹰增长混合,国泰价值经典混合(LOF)",2121,73.76,128.64
4,许智程,弘毅远方基金,"弘毅远方港股通智选领航混合A,弘毅远方港股通智选领航混合C",248,6.58,-15.65
5,谢志华,诺安基金,"诺安天天宝A,诺安天天宝E,诺安天天宝B,诺安理财宝货币A,诺安理财宝货币B,诺安聚利债券A,诺安聚利债券C,诺安聚鑫宝货币A,诺安聚鑫宝货币B,诺安天天宝C,诺安理财宝货币C,诺安聚鑫宝货币C,诺安聚鑫宝货币D,诺安汇利灵活配置混合A,诺安汇利灵活配置混合C,诺安鼎利混合A,诺安鼎利混合C,诺安纯债定开债A,诺安纯债定开债C,诺安货币A,诺安优化收益债券,诺安货币B",3828,642.21,132.17
6,许忠海,中邮基金,"中邮趋势精选灵活配置混合,中邮健康文娱混合,中邮战略新兴产业混合",2372,33.91,163.13
7,徐志华,国联安基金,"国联安远见成长混合,国联安行业领先混合,国联安新蓝筹红利一年定开混合",695,5.33,129.71
8,徐占杰,九泰基金,九泰泰富灵活配置混合(LOF),1844,7.23,119.97
9,谢泽林,嘉实基金,嘉实企业变革股票,2226,5.84,90.68
10,谢芝兰,兴证全球基金,"兴全货币B,兴证全球恒惠30天持有超短债A,兴证全球恒惠30天持有超短债C,兴全货币A",2001,444.48,18.26
11,许之彦,华安基金,"华安黄金易ETF联接A,华安黄金易ETF联接C,华安沪深300增强A,华安沪深300增强C,华安沪深300ETF联接A,华安沪深300ETF联接C,华安中国A股增强指数,华安上证180ETF联接,华安创业板50ETF,华安创业板50ETF联接A,华安创业板50ETF联接C,华安上证180ETF,华安中证电子50ETF,华安沪深300ETF,华安黄金易ETF,华安上证科创板50ETF",5460,599.34,171.57
12,谢治宇,兴证全球基金,"兴全合宜混合(LOF)C,兴全社会价值三年持有混合,兴全合润混合(LOF),兴全合宜混合(LOF)A",3180,739.2,669.36
13,熊哲颖,申万菱信基金,"申万菱信新能源汽车混合,申万菱信智能汽车股票A,申万菱信智能汽车股票C",223,48.74,48.62
14,薛子徵,东方基金,"东方新价值混合A,东方新价值混合C,东方价值挖掘灵活配置混合A,东方价值挖掘灵活配置混合C,东方成长收益灵活配置混合C,东方中国红利混合,东方成长收益灵活配置混合A",2359,14.47,46.59
15,杨爱斌,鹏扬基金,"鹏扬汇利债券A,鹏扬汇利债券C,鹏扬泓利债券A,鹏扬泓利债券C,鹏扬聚利六个月持有期债券A,鹏扬聚利六个月持有期债券C,鹏扬景沃六个月持有期混合A,鹏扬景沃六个月持有期混合C,鹏扬景恒六个月持有混合A,鹏扬景恒六个月持有混合C,鹏扬景惠六个月持有期混合A,鹏扬景惠六个月持有期混合C,鹏扬景沣六个月持有期混合A,鹏扬景沣六个月持有期混合C,鹏扬景明一年混合,鹏扬景源一年持有混合A,鹏扬景源一年持有混合C,鹏扬景阳一年持有混合A,鹏扬景阳一年持有混合C",1595,366.76,26.29
16,余斌,摩根士丹利华鑫基金,"大摩量化多策略股票,大摩ESG量化混合,大摩MSCI中国A股增强,大摩多因子策略混合,大摩深证300指数增强",2607,18.21,82.42
17,于渤,富国基金,"富国新回报灵活配置混合A/B,富国新回报灵活配置混合C,富国新收益灵活配置混合A,富国新收益灵活配置混合C,富国新优享灵活配置混合A,富国新优享灵活配置混合C,富国天润回报混合A,富国天润回报混合C,富国安诚回报12个月持有期混合A,富国安诚回报12个月持有期混合C",826,15.01,70.27
